"firstName","lastName","cityOfOrigin","stateOfOrigin","latitude","longitude"
"Dustin","Green","Hickory Hills","IL",40,-105.35
"Jason","Finn","Huntington Beach","CA",39.95,-105.24
"Howard","Thompson","Hale","MO",40.06,-105.26
"Maggie","Lantz","Dublin","OH",40.03,-105.23
"Lawrence","Duran","Fort Myers","FL",40.04,-105.23
"Irene","Molina","Tucson","AZ",39.96,-105.22
"Nancy","Garner","Baltimore","MD",39.98,-105.21
"Tara","Taylor","Minneapolis","MN",40,-105.25
"Alejandro","Smith","Scarborough","ME",40.02,-105.26
"Tricia","Renshaw","Mystic","CT",40.02,-105.3
"Travis","Cook","Twin Lakes","WI",40.01,-105.2
"Joan","Brooks","Norfolk","VA",39.98,-105.24
"Joseph","Rodgers","Wayne","NJ",39.99,-105.25
"Matthew","Gregson","Brashear","MO",40.01,-105.29
"Katie","Dunlap","Marion","VA",39.97,-105.27
"Leo","Howard","Dallas","TX",39.97,-105.33
"Maria","Baisden","Raleigh","NC",40,-105.29
"Sandy","Townsend","Newport","PA",40.05,-105.3
"Melinda","Stephenson","Kahului","HI",39.99,-105.31
"Jason","Nichols","Alexandria","VA",40.01,-105.32
